ParticipantCode,Participant_ID,Simple_N,Simple_Mean,Simple_SD,Simple_se,Passive_N,Passive_Mean,Passive_SD,Passive_se,SRC_N,SRC_Mean,SRC_SD,SRC_se,ORC_N,ORC_Mean,ORC_SD,ORC_se,RE_ResponseTime,RE_Score,RE_Score_N,Group,DS_Reaction_Time,Age,SES,ComputerSkills,Gender,English,Dyslexia,ReadingDificulties,ReadingDifficultiesDetails,ART_ResponseTime,ART_score_value,Accuracy_N,Accuracy_Mean,Accuracy_SD,Accuracy_se
1619505233,09a8880b757fa8abf2ffc1bc731c2bbc,19,0.947368421,0.229415734,0.052631579,19,0.684210526,0.477566933,0.109561368,11,1,0,0,11,0.909090909,0.301511345,0.090909091,38283,6,10,Native,29759,20,50K-75K,Very Comfortable,Female,birth,No,No,No,298964,25,62,0.870967742,0.337972303,0.042922525
1607051230,64b15a2b8871beb13aca2ca594b4013f,20,1,0,0,19,0.894736842,0.315301768,0.072335186,10,1,0,0,10,0.9,0.316227766,0.1,40691,2.8,10,Native,22073,20,100K-200K,Somewhat comfortable,male,birth,No,No,No,292274,26,62,0.935483871,0.247675604,0.031454833
1606953465,3e43980b4497f27c169cc1af744ff34f,19,1,0,0,19,0.631578947,0.495594628,0.113697205,11,0.636363636,0.504524979,0.152120005,11,0.909090909,0.301511345,0.090909091,16508,5.75,4,Native,69765,NA,,Neither comfortable nor uncomfortable,,birth,No,No,No,288605,10,62,0.806451613,0.398304179,0.050584681
1617831958,b9c172bcbeed8f1e4287c731e7fe6cf7,19,1,0,0,19,0.894736842,0.315301768,0.072335186,11,1,0,0,11,0.909090909,0.301511345,0.090909091,59312,2.3,10,Native,79258,22,50K-75K,Somewhat comfortable,female,birth,No,No,No,275714,10,62,0.951612903,0.216334543,0.027474514
1606703150,bde02c2b393db7273d0c3e172bdfb876,20,0.95,0.223606798,0.05,20,0.6,0.50262469,0.112390297,10,1,0,0,11,0.818181818,0.404519917,0.121967344,53885,2.1,10,Native,177719,18,50K-75K,Very Comfortable,Male,before5,No,No,No,268837,18,62,0.822580645,0.385141811,0.048913059
1612118421,9c3938be94653d6d07855f0822ee8523,18,1,0,0,17,0.941176471,0.242535625,0.058823529,11,0.909090909,0.301511345,0.090909091,9,1,0,0,40151,5.9,10,Native,43257,19,50K-75K,Very Comfortable,female,before5,No,No,No,259833,12,62,0.967741935,0.178127044,0.022622157
1607567212,1cb8bf8050f858b88ab26dad83a7b5d5,20,1,0,0,19,0.842105263,0.374634325,0.085947009,11,1,0,0,11,1,0,0,69770,5.1,10,Native,52529,18,unsure,Very Comfortable,Male,before5,No,No,No,249440,18,62,0.951612903,0.216334543,0.027474514
1607625923,d898260244b5a153558a0a3de1ecd6a4,20,0.9,0.307793506,0.06882472,18,0.722222222,0.460888599,0.108632485,11,0.909090909,0.301511345,0.090909091,11,0.545454545,0.522232968,0.157459164,245998,3.3,10,Native,154605,18,25K-50K,Very Comfortable,female,before5,No,No,No,245071,5,62,0.790322581,0.410401514,0.052121044
1606434920,2e18175ca1db89e111def8221baa7091,20,1,0,0,20,0.95,0.223606798,0.05,11,1,0,0,11,1,0,0,20346,4.6,5,Native,26353,18,25K-50K,Very Comfortable,female,birth,No,No,No,243992,16,62,0.983870968,0.127000127,0.016129032
1607111461,e7aecf9234a8627cf81d316e497a2b61,20,1,0,0,19,0.947368421,0.229415734,0.052631579,10,1,0,0,11,1,0,0,105163,6.4,10,Native,35599,19,50K-75K,Very Comfortable,female,birth,No,No,No,240140,22,62,0.983870968,0.127000127,0.016129032
1617415596,a4fc8471a7cdf2af178fedb68f8a567c,19,1,0,0,19,0.736842105,0.452413928,0.103790873,10,1,0,0,11,0.909090909,0.301511345,0.090909091,38064,6.777777778,9,Native,59309,20,100K-200K,Very Comfortable,female,before5,No,No,No,217152,16,62,0.903225806,0.298063555,0.037854109
